,premier,home,away,time
745,Dutch Eredivisie,De Graafschap,Vitesse Arnhem,2018-12-23 08:30
746,Dutch Eredivisie,FC Emmen VV,Willem II Tilburg,2018-12-23 10:45
747,Portuguese Liga,CD Nacional de Madeira,GD Chaves,2018-12-23 10:00
748,Portuguese Liga,FC Porto,Rio Ave,2018-12-23 10:00
749,Portuguese Liga,Benfica,Braga,2018-12-23 12:30
750,Portuguese Liga,Guimaraes,Sporting CP,2018-12-23 15:00
751,Scottish Premiership,St Johnstone,Rangers,2018-12-23 07:15
752,Turkish Super Lig,Erzurum BB,Kayserispor,2018-12-23 05:30
753,Turkish Super Lig,Bursaspor,Yeni Malatyaspor,2018-12-23 08:00
754,Turkish Super Lig,Trabzonspor,Caykur Rizespor,2018-12-23 08:00
755,Turkish Super Lig,Galatasaray,Sivasspor,2018-12-23 11:00
756,Belgian First Division A,Club Brugge,Antwerp,2018-12-23 08:30
757,Belgian First Division A,Eupen,Racing Genk,2018-12-23 12:00
758,Belgian First Division A,Zulte-Waregem,Royal Charleroi SC,2018-12-23 14:00
759,Greek Super League,AEK Athens,Levadiakos,2018-12-23 08:00
760,Greek Super League,Lamia,Apollon Smyrni,2018-12-23 09:00
761,Greek Super League,Olympiakos,Larissa FC,2018-12-23 10:15
762,Greek Super League,FC Xanthi,Aris,2018-12-23 12:00
763,Greek Super League,PAOK Salonika,Pas Giannina,2018-12-23 12:30
764,Australian A-League,Central Coast Mariners,Newcastle Jets,2018-12-23 01:00
765,Spanish Segunda División,Reus Deportiu,Osasuna,2018-12-23 06:00
766,Spanish Segunda División,Albacete,Rayo Majadahonda,2018-12-23 10:00
767,Spanish Segunda División,AD Alcorcon,Numancia,2018-12-23 12:00
768,Italian Serie B,Salernitana,Foggia,2018-12-23 06:30
769,Italian Serie B,Cittadella,Perugia,2018-12-23 09:00
770,Italian Serie B,Lecce,Padova,2018-12-23 09:00
771,Italian Serie B,Venezia FC,Cosenza,2018-12-23 09:00
772,Italian Serie B,Spezia,Palermo,2018-12-23 11:30
773,Italian Serie B,Benevento,Crotone,2018-12-23 15:00
774,German 2. Bundesliga,FC Erzgebirge Aue,FC Union Berlin,2018-12-23 07:30
775,German 2. Bundesliga,Holstein Kiel,Hamburg SV,2018-12-23 07:30
776,German 2. Bundesliga,MSV Duisburg,Dynamo Dresden,2018-12-23 07:30
777,German 2. Bundesliga,SC Paderborn 07,SV Darmstadt 98,2018-12-23 07:30
778,Dutch Eerste Divisie,MVV Maastricht,SC Cambuur,2018-12-23 08:30
779,Indian I-League,NEROCA FC,Minerva Punjab,2018-12-23 03:30
780,Indian I-League,Mohun Bagan,Shillong Lajong,2018-12-23 06:30
781,South African Premiership,Highlands Park FC,SuperSport United,2018-12-23 08:30
782,South African First Division,Ajax Cape Town,Mbombela United,2018-12-23 09:00
783,South African First Division,Real Kings,TS Sporting,2018-12-23 09:00
784,South African First Division,Richards Bay,Tshakhuma Tsha Madzivhandila,2018-12-23 09:00
785,South African First Division,TS Galaxy,Uthongathi,2018-12-23 09:00
786,Turkish Super Lig,Akhisar Belediyespor,Konyaspor,2018-12-24 12:00
787,Turkish Super Lig,Antalyaspor,Fenerbahce,2018-12-24 12:00
788,Israeli Premier League,Bnei Sakhnin,Maccabi Netanya,2018-12-25 10:00
789,Israeli Premier League,Hapoel Hadera,Beitar Jerusalem,2018-12-25 10:00
790,Israeli Premier League,Hapoel Haifa,Hapoel Tel Aviv,2018-12-25 10:00
791,Israeli Premier League,Hapoel Kiryat Shmona,Hapoel Ra'anana,2018-12-25 10:00
792,Israeli Premier League,Maccabi Petach-Tikva,Bnei Yehuda,2018-12-25 10:00
793,Israeli Premier League,Maccabi Tel-Aviv,Hapoel Be'er,2018-12-25 10:00
794,Israeli Premier League,Moadon Sport Ashdod,Maccabi Haifa,2018-12-25 10:00
795,English Premier League,Fulham,Wolverhampton Wanderers,2018-12-26 07:30
796,English Premier League,Burnley,Everton,2018-12-26 10:00
797,English Premier League,Crystal Palace,Cardiff City,2018-12-26 10:00
798,English Premier League,Leicester City,Manchester City,2018-12-26 10:00
799,English Premier League,Liverpool,Newcastle United,2018-12-26 10:00
800,English Premier League,Manchester United,Huddersfield Town,2018-12-26 10:00
801,English Premier League,Tottenham Hotspur,AFC Bournemouth,2018-12-26 10:00
802,English Premier League,Brighton & Hove Albion,Arsenal,2018-12-26 12:15
803,English Premier League,Watford,Chelsea,2018-12-26 14:30
804,Italian Serie A,Frosinone,AC Milan,2018-12-26 06:30
805,Italian Serie A,Atalanta,Juventus,2018-12-26 09:00
806,Italian Serie A,Bologna,Lazio,2018-12-26 09:00
807,Italian Serie A,Cagliari,Genoa,2018-12-26 09:00
808,Italian Serie A,Fiorentina,Parma,2018-12-26 09:00
809,Italian Serie A,Sampdoria,Chievo Verona,2018-12-26 09:00
810,Italian Serie A,SPAL,Udinese,2018-12-26 09:00
811,Italian Serie A,AS Roma,Sassuolo,2018-12-26 12:00
812,Italian Serie A,Torino,Empoli,2018-12-26 12:00
813,Italian Serie A,Internazionale,Napoli,2018-12-26 14:30
814,English League Championship,Birmingham City,Stoke City,2018-12-26 10:00
815,English League Championship,Bolton Wanderers,Rotherham United,2018-12-26 10:00
816,English League Championship,Bristol City,Brentford,2018-12-26 10:00
817,English League Championship,Leeds United,Blackburn Rovers,2018-12-26 10:00
818,English League Championship,Middlesbrough,Sheffield Wednesday,2018-12-26 10:00
819,English League Championship,Millwall,Reading,2018-12-26 10:00
820,English League Championship,Norwich City,Nottingham Forest,2018-12-26 10:00
821,English League Championship,Preston North End,Hull City,2018-12-26 10:00
822,English League Championship,Queens Park Rangers,Ipswich Town,2018-12-26 10:00
823,English League Championship,Sheffield United,Derby County,2018-12-26 10:00
824,English League Championship,Swansea City,Aston Villa,2018-12-26 10:00
825,English League Championship,West Bromwich Albion,Wigan Athletic,2018-12-26 10:00
826,Scottish Premiership,Aberdeen,Celtic,2018-12-26 09:00
827,Scottish Premiership,St Mirren,St Johnstone,2018-12-26 09:00
828,Scottish Premiership,Dundee,Livingston,2018-12-26 10:00
829,Scottish Premiership,Heart of Midlothian,Hamilton Academical,2018-12-26 10:00
830,Scottish Premiership,Motherwell,Kilmarnock,2018-12-26 10:00
831,Scottish Premiership,Rangers,Hibernian,2018-12-26 10:00
832,Belgian First Division A,Antwerp,Mouscron,2018-12-26 08:30
833,Belgian First Division A,Cercle Brugge KSV,Eupen,2018-12-26 08:30
834,Belgian First Division A,KV Kortrijk,Zulte-Waregem,2018-12-26 08:30
835,Belgian First Division A,KV Oostende,Sint-Truidense,2018-12-26 08:30
836,Belgian First Division A,Royal Charleroi SC,Standard Liege,2018-12-26 12:00
837,Belgian First Division A,Racing Genk,KAA Gent,2018-12-26 14:30
838,Australian A-League,Adelaide United,Western Sydney Wanderers,2018-12-26 03:50
839,English League One,Gillingham,Portsmouth,2018-12-26 08:00
840,English League One,Accrington Stanley,Shrewsbury Town,2018-12-26 10:00
841,English League One,AFC Wimbledon,Plymouth Argyle,2018-12-26 10:00
842,English League One,Barnsley,Peterborough United,2018-12-26 10:00
843,English League One,Burton Albion,Wycombe Wanderers,2018-12-26 10:00
844,English League One,Coventry City,Charlton Athletic,2018-12-26 10:00
845,English League One,Fleetwood Town,Doncaster Rovers,2018-12-26 10:00
846,English League One,Oxford United,Southend United,2018-12-26 10:00
847,English League One,Rochdale,Blackpool,2018-12-26 10:00
848,English League One,Scunthorpe United,Luton Town,2018-12-26 10:00
849,English League One,Sunderland,Bradford City,2018-12-26 10:00
850,English League One,Walsall,Bristol Rovers,2018-12-26 10:00
851,English League Two,Cambridge United,Crawley Town,2018-12-26 08:00
852,English League Two,Exeter City,Yeovil Town,2018-12-26 08:00
853,English League Two,Carlisle United,Oldham Athletic,2018-12-26 10:00
854,English League Two,Cheltenham Town,Milton Keynes Dons,2018-12-26 10:00
855,English League Two,Colchester United,Stevenage,2018-12-26 10:00
856,English League Two,Crewe Alexandra,Lincoln City,2018-12-26 10:00
857,English League Two,Mansfield Town,Bury,2018-12-26 10:00
858,English League Two,Newport County,Forest Green Rovers,2018-12-26 10:00
859,English League Two,Northampton Town,Swindon Town,2018-12-26 10:00
860,English League Two,Notts County,Macclesfield Town,2018-12-26 10:00
861,English League Two,Port Vale,Grimsby Town,2018-12-26 10:00
862,English League Two,Tranmere Rovers,Morecambe,2018-12-26 10:00
863,English National League,Maidenhead Utd,Aldershot Town,2018-12-26 07:30
864,English National League,Boreham Wood,Barnet,2018-12-26 08:00
865,English National League,Dagenham & Redbridge,Leyton Orient,2018-12-26 08:00
866,English National League,Barrow,AFC Fylde,2018-12-26 10:00
867,English National League,Chesterfield,Solihull Moors,2018-12-26 10:00
868,English National League,Dover,Maidstone United,2018-12-26 10:00
869,English National League,Ebbsfleet United,Braintree Town,2018-12-26 10:00
870,English National League,Gateshead,Hartlepool United,2018-12-26 10:00
871,English National League,Harrogate Town,Halifax,2018-12-26 10:00
872,English National League,Havant & Waterlooville,Eastleigh,2018-12-26 10:00
873,English National League,Sutton United,Bromley,2018-12-26 10:00
874,English National League,Wrexham,Salford City,2018-12-26 10:00
875,Italian Serie B,Brescia,Cremonese,2018-12-26 09:00
876,Italian Serie B,Carpi,Livorno,2018-12-26 09:00
877,Northern Irish Premiership,Ballymena,Coleraine,2018-12-26 10:00
878,Northern Irish Premiership,Cliftonville,Crusaders,2018-12-26 10:00
879,Northern Irish Premiership,Dungannon Swifts,Glenavon,2018-12-26 10:00
880,Northern Irish Premiership,Institute,Ards,2018-12-26 10:00
881,Northern Irish Premiership,Linfield,Glentoran,2018-12-26 10:00
882,Northern Irish Premiership,Warrenpoint Town,Newry City AFC,2018-12-26 10:00
883,Welsh Premier League,Llanelli,Carmarthen,2018-12-26 07:00
884,Welsh Premier League,Aberystwyth,Newtown,2018-12-26 09:30
885,Welsh Premier League,Bala Town,Connah's Quay,2018-12-26 09:30
886,Welsh Premier League,Barry Town,Cardiff MU,2018-12-26 09:30
887,Welsh Premier League,Caernarfon,Llandudno Town,2018-12-26 09:30
888,Welsh Premier League,T.N.S.,Cefn Druids,2018-12-26 09:30
889,English Premier League,Southampton,West Ham United,2018-12-27 14:45
890,Belgian First Division A,KSC Lokeren,Club Brugge,2018-12-27 12:00
891,Belgian First Division A,Anderlecht,Waasland-Beveren,2018-12-27 14:30
892,Italian Serie B,US Pescara,Venezia FC,2018-12-27 13:00
893,Italian Serie B,Cosenza,Salernitana,2018-12-27 15:00
894,Italian Serie B,Crotone,Spezia,2018-12-27 15:00
895,Italian Serie B,Hellas Verona,Cittadella,2018-12-27 15:00
896,Italian Serie B,Padova,Benevento,2018-12-27 15:00
897,Italian Serie B,Palermo,Ascoli,2018-12-27 15:00
898,Italian Serie B,Perugia,Foggia,2018-12-27 15:00
899,Australian A-League,Melbourne Victory,Wellington Phoenix FC,2018-12-28 03:50
900,Indian I-League,NEROCA FC,Mohun Bagan,2018-12-28 03:30
901,Indian I-League,East Bengal,Real Kashmir,2018-12-28 06:30
902,English Premier League,Brighton & Hove Albion,Everton,2018-12-29 10:00
903,English Premier League,Fulham,Huddersfield Town,2018-12-29 10:00
904,English Premier League,Leicester City,Cardiff City,2018-12-29 10:00
905,English Premier League,Tottenham Hotspur,Wolverhampton Wanderers,2018-12-29 10:00
906,English Premier League,Watford,Newcastle United,2018-12-29 10:00
907,English Premier League,Liverpool,Arsenal,2018-12-29 12:30
908,Italian Serie A,Juventus,Sampdoria,2018-12-29 06:30
909,Italian Serie A,Chievo Verona,Frosinone,2018-12-29 09:00
910,Italian Serie A,Empoli,Internazionale,2018-12-29 09:00
911,Italian Serie A,Genoa,Fiorentina,2018-12-29 09:00
912,Italian Serie A,Lazio,Torino,2018-12-29 09:00
913,Italian Serie A,Parma,AS Roma,2018-12-29 09:00
914,Italian Serie A,Sassuolo,Atalanta,2018-12-29 09:00
915,Italian Serie A,Udinese,Cagliari,2018-12-29 09:00
916,Italian Serie A,Napoli,Bologna,2018-12-29 12:00
917,Italian Serie A,AC Milan,SPAL,2018-12-29 14:30
918,English League Championship,Birmingham City,Brentford,2018-12-29 10:00
919,English League Championship,Bolton Wanderers,Stoke City,2018-12-29 10:00
920,English League Championship,Bristol City,Rotherham United,2018-12-29 10:00
921,English League Championship,Leeds United,Hull City,2018-12-29 10:00
922,English League Championship,Middlesbrough,Ipswich Town,2018-12-29 10:00
923,English League Championship,Millwall,Nottingham Forest,2018-12-29 10:00
924,English League Championship,Norwich City,Derby County,2018-12-29 10:00
925,English League Championship,Preston North End,Aston Villa,2018-12-29 10:00
926,English League Championship,Queens Park Rangers,Reading,2018-12-29 10:00
927,English League Championship,Sheffield United,Blackburn Rovers,2018-12-29 10:00
928,English League Championship,Swansea City,Wigan Athletic,2018-12-29 10:00
929,English League Championship,West Bromwich Albion,Sheffield Wednesday,2018-12-29 10:00
930,Scottish Premiership,Rangers,Celtic,2018-12-29 07:30
931,Scottish Premiership,Dundee,St Johnstone,2018-12-29 10:00
932,Scottish Premiership,Hamilton Academical,Motherwell,2018-12-29 10:00
933,Scottish Premiership,Kilmarnock,St Mirren,2018-12-29 10:00
934,Scottish Premiership,Livingston,Aberdeen,2018-12-29 10:00
935,Scottish Premiership,Hibernian,Heart of Midlothian,2018-12-29 12:30
936,Australian A-League,Sydney FC,Brisbane Roar,2018-12-29 03:50
937,Israeli Premier League,Hapoel Ra'anana,Maccabi Tel-Aviv,2018-12-29 09:00
938,Israeli Premier League,Maccabi Netanya,Hapoel Kiryat Shmona,2018-12-29 11:00
939,Israeli Premier League,Hapoel Be'er,Moadon Sport Ashdod,2018-12-29 11:15
940,Israeli Premier League,Maccabi Haifa,Bnei Yehuda,2018-12-29 13:30
941,Brazilian Campeonato Carioca,América-RJ,Resende,2018-12-29 13:00
942,Brazilian Campeonato Carioca,Macaé,Nova Iguaçu,2018-12-29 13:00
943,English League One,Oxford United,Bristol Rovers,2018-12-29 08:00
944,English League One,Accrington Stanley,Peterborough United,2018-12-29 10:00
945,English League One,AFC Wimbledon,Blackpool,2018-12-29 10:00
946,English League One,Barnsley,Charlton Athletic,2018-12-29 10:00
947,English League One,Burton Albion,Plymouth Argyle,2018-12-29 10:00
948,English League One,Coventry City,Southend United,2018-12-29 10:00
949,English League One,Fleetwood Town,Portsmouth,2018-12-29 10:00
950,English League One,Gillingham,Doncaster Rovers,2018-12-29 10:00
951,English League One,Rochdale,Bradford City,2018-12-29 10:00
952,English League One,Scunthorpe United,Wycombe Wanderers,2018-12-29 10:00
953,English League One,Sunderland,Shrewsbury Town,2018-12-29 10:00
954,English League One,Walsall,Luton Town,2018-12-29 10:00
955,English League Two,Cambridge United,Lincoln City,2018-12-29 10:00
956,English League Two,Carlisle United,Macclesfield Town,2018-12-29 10:00
957,English League Two,Cheltenham Town,Forest Green Rovers,2018-12-29 10:00
958,English League Two,Colchester United,Morecambe,2018-12-29 10:00
959,English League Two,Crewe Alexandra,Stevenage,2018-12-29 10:00
960,English League Two,Exeter City,Grimsby Town,2018-12-29 10:00
961,English League Two,Mansfield Town,Swindon Town,2018-12-29 10:00
962,English League Two,Newport County,Crawley Town,2018-12-29 10:00
963,English League Two,Northampton Town,Milton Keynes Dons,2018-12-29 10:00
964,English League Two,Notts County,Bury,2018-12-29 10:00
965,English League Two,Port Vale,Oldham Athletic,2018-12-29 10:00
966,English League Two,Tranmere Rovers,Yeovil Town,2018-12-29 10:00
967,English National League,Barrow,Salford City,2018-12-29 07:35
968,English National League,Boreham Wood,Maidstone United,2018-12-29 10:00
969,English National League,Chesterfield,Hartlepool United,2018-12-29 10:00
970,English National League,Dagenham & Redbridge,Barnet,2018-12-29 10:00
971,English National League,Dover,Leyton Orient,2018-12-29 10:00
972,English National League,Ebbsfleet United,Eastleigh,2018-12-29 10:00
973,English National League,Gateshead,Halifax,2018-12-29 10:00
974,English National League,Harrogate Town,AFC Fylde,2018-12-29 10:00
975,English National League,Havant & Waterlooville,Bromley,2018-12-29 10:00
976,English National League,Maidenhead Utd,Braintree Town,2018-12-29 10:00
977,English National League,Sutton United,Aldershot Town,2018-12-29 10:00
978,English National League,Wrexham,Solihull Moors,2018-12-29 10:00
979,Scottish Championship,Alloa Athletic,Dundee United,2018-12-29 10:00
980,Scottish Championship,Falkirk,Dunfermline Athletic,2018-12-29 10:00
981,Scottish Championship,Partick Thistle,Greenock Morton,2018-12-29 10:00
982,Scottish Championship,Queen of the South,Ayr United,2018-12-29 10:00
983,Scottish Championship,Ross County,Inverness Caledonian Thistle,2018-12-29 10:00
984,Scottish League One,Airdrieonians,Stranraer,2018-12-29 10:00
985,Scottish League One,Forfar Athletic,Brechin City,2018-12-29 10:00
986,Scottish League One,Montrose,Arbroath,2018-12-29 10:00
987,Scottish League One,Raith Rovers,East Fife,2018-12-29 10:00
988,Scottish League One,Stenhousemuir,Dumbarton,2018-12-29 10:00
989,Scottish League Two,Albion Rovers,Annan Athletic,2018-12-29 10:00
990,Scottish League Two,Berwick Rangers,Edinburgh City,2018-12-29 10:00
991,Scottish League Two,Clyde,Queen's Park,2018-12-29 10:00
992,Scottish League Two,Elgin City,Peterhead,2018-12-29 10:00
993,Scottish League Two,Stirling Albion,Cowdenbeath,2018-12-29 10:00
994,Northern Irish Premiership,Ballymena,Newry City AFC,2018-12-29 10:00
995,Northern Irish Premiership,Cliftonville,Linfield,2018-12-29 10:00
996,Northern Irish Premiership,Dungannon Swifts,Ards,2018-12-29 10:00
997,Northern Irish Premiership,Glenavon,Institute,2018-12-29 10:00
998,Northern Irish Premiership,Glentoran,Crusaders,2018-12-29 10:00
999,Northern Irish Premiership,Warrenpoint Town,Coleraine,2018-12-29 10:00
1000,Indian I-League,Aizawl FC,Gokulam Kerala FC,2018-12-29 03:30
1001,Indian I-League,Chennai City,Shillong Lajong,2018-12-29 06:30
1002,English Premier League,Crystal Palace,Chelsea,2018-12-30 07:00
1003,English Premier League,Burnley,West Ham United,2018-12-30 09:15
1004,English Premier League,Southampton,Manchester City,2018-12-30 09:15
1005,English Premier League,Manchester United,AFC Bournemouth,2018-12-30 11:30
1006,Australian A-League,Newcastle Jets,Adelaide United,2018-12-30 03:00
1007,Israeli Premier League,Hapoel Hadera,Maccabi Petach-Tikva,2018-12-30 12:00
1008,Israeli Premier League,Hapoel Tel Aviv,Bnei Sakhnin,2018-12-30 13:30
1009,Italian Serie B,Foggia,Hellas Verona,2018-12-30 06:30
1010,Italian Serie B,Ascoli,Crotone,2018-12-30 09:00
1011,Italian Serie B,Cittadella,Palermo,2018-12-30 09:00
1012,Italian Serie B,Cremonese,Perugia,2018-12-30 09:00
1013,Italian Serie B,Salernitana,US Pescara,2018-12-30 09:00
1014,Italian Serie B,Venezia FC,Carpi,2018-12-30 09:00
1015,Italian Serie B,Benevento,Brescia,2018-12-30 10:00
1016,Italian Serie B,Livorno,Padova,2018-12-30 12:00
1017,Italian Serie B,Spezia,Lecce,2018-12-30 15:00
1018,Welsh Premier League,Newtown,Aberystwyth,2018-12-30 09:30
1019,Indian I-League,Indian Arrows,Churchill Brothers,2018-12-30 06:30
1020,International Friendly,South Korea,Saudi Arabia,2018-12-31 11:00
1021,Australian A-League,Central Coast Mariners,Perth Glory,2018-12-31 03:00
1022,Israeli Premier League,Beitar Jerusalem,Hapoel Haifa,2018-12-31 14:00
1023,Welsh Premier League,Cardiff MU,Barry Town,2018-12-31 14:45
1024,English Premier League,Everton,Leicester City,2019-01-01 07:30
1025,English Premier League,Arsenal,Fulham,2019-01-01 10:00
1026,English Premier League,Cardiff City,Tottenham Hotspur,2019-01-01 12:30
1027,English League Championship,Aston Villa,Queens Park Rangers,2019-01-01 10:00
1028,English League Championship,Blackburn Rovers,West Bromwich Albion,2019-01-01 10:00
1029,English League Championship,Brentford,Norwich City,2019-01-01 10:00
1030,English League Championship,Derby County,Middlesbrough,2019-01-01 10:00
1031,English League Championship,Hull City,Bolton Wanderers,2019-01-01 10:00
1032,English League Championship,Ipswich Town,Millwall,2019-01-01 10:00
1033,English League Championship,Nottingham Forest,Leeds United,2019-01-01 10:00
1034,English League Championship,Reading,Swansea City,2019-01-01 10:00
1035,English League Championship,Rotherham United,Preston North End,2019-01-01 10:00
1036,English League Championship,Sheffield Wednesday,Birmingham City,2019-01-01 10:00
1037,English League Championship,Stoke City,Bristol City,2019-01-01 10:00
1038,English League Championship,Wigan Athletic,Sheffield United,2019-01-01 10:00
1039,Australian A-League,Western Sydney Wanderers,Melbourne City FC,2019-01-01 03:50
1040,English League One,Blackpool,Sunderland,2019-01-01 10:00
1041,English League One,Bradford City,Accrington Stanley,2019-01-01 10:00
1042,English League One,Bristol Rovers,Burton Albion,2019-01-01 10:00
1043,English League One,Charlton Athletic,Walsall,2019-01-01 10:00
1044,English League One,Doncaster Rovers,Rochdale,2019-01-01 10:00
1045,English League One,Luton Town,Barnsley,2019-01-01 10:00
1046,English League One,Peterborough United,Scunthorpe United,2019-01-01 10:00
1047,English League One,Plymouth Argyle,Oxford United,2019-01-01 10:00
1048,English League One,Portsmouth,AFC Wimbledon,2019-01-01 10:00
1049,English League One,Shrewsbury Town,Fleetwood Town,2019-01-01 10:00
1050,English League One,Southend United,Gillingham,2019-01-01 10:00
1051,English League One,Wycombe Wanderers,Coventry City,2019-01-01 10:00
1052,English League Two,Grimsby Town,Mansfield Town,2019-01-01 08:00
1053,English League Two,Bury,Crewe Alexandra,2019-01-01 10:00
1054,English League Two,Crawley Town,Colchester United,2019-01-01 10:00
1055,English League Two,Forest Green Rovers,Northampton Town,2019-01-01 10:00
1056,English League Two,Lincoln City,Port Vale,2019-01-01 10:00
1057,English League Two,Macclesfield Town,Tranmere Rovers,2019-01-01 10:00
1058,English League Two,Milton Keynes Dons,Cambridge United,2019-01-01 10:00
1059,English League Two,Morecambe,Carlisle United,2019-01-01 10:00
1060,English League Two,Oldham Athletic,Notts County,2019-01-01 10:00
1061,English League Two,Stevenage,Newport County,2019-01-01 10:00
1062,English League Two,Swindon Town,Exeter City,2019-01-01 10:00
1063,English League Two,Yeovil Town,Cheltenham Town,2019-01-01 10:00
1064,English National League,AFC Fylde,Barrow,2019-01-01 10:00
1065,English National League,Aldershot Town,Maidenhead Utd,2019-01-01 10:00
1066,English National League,Barnet,Boreham Wood,2019-01-01 10:00
1067,English National League,Braintree Town,Ebbsfleet United,2019-01-01 10:00
1068,English National League,Eastleigh,Havant & Waterlooville,2019-01-01 10:00
1069,English National League,Halifax,Harrogate Town,2019-01-01 10:00
1070,English National League,Hartlepool United,Gateshead,2019-01-01 10:00
1071,English National League,Leyton Orient,Dagenham & Redbridge,2019-01-01 10:00
1072,English National League,Maidstone United,Dover,2019-01-01 10:00
1073,English National League,Salford City,Wrexham,2019-01-01 10:00
1074,English National League,Solihull Moors,Chesterfield,2019-01-01 10:00
1075,English National League,Bromley,Sutton United,2019-01-01 14:45
1076,Northern Irish Premiership,Ards,Linfield,2019-01-01 10:00
1077,Northern Irish Premiership,Coleraine,Cliftonville,2019-01-01 10:00
1078,Northern Irish Premiership,Crusaders,Ballymena,2019-01-01 10:00
1079,Northern Irish Premiership,Glenavon,Warrenpoint Town,2019-01-01 10:00
1080,Northern Irish Premiership,Glentoran,Dungannon Swifts,2019-01-01 10:00
1081,Northern Irish Premiership,Newry City AFC,Institute,2019-01-01 10:00
1082,Welsh Premier League,Cefn Druids,T.N.S.,2019-01-01 09:30
1083,Welsh Premier League,Connah's Quay,Bala Town,2019-01-01 09:30
1084,Welsh Premier League,Llandudno Town,Caernarfon,2019-01-01 09:30
1085,Welsh Premier League,Carmarthen,Llanelli,2019-01-01 12:15
1086,English Premier League,AFC Bournemouth,Watford,2019-01-02 14:45
1087,English Premier League,Chelsea,Southampton,2019-01-02 14:45
1088,English Premier League,Huddersfield Town,Burnley,2019-01-02 14:45
1089,English Premier League,West Ham United,Brighton & Hove Albion,2019-01-02 14:45
1090,English Premier League,Wolverhampton Wanderers,Crystal Palace,2019-01-02 14:45
1091,English Premier League,Newcastle United,Manchester United,2019-01-02 15:00
1092,Portuguese Liga,Boavista,Vitoria Setubal,2019-01-02 07:00
1093,Portuguese Liga,Braga,Maritimo,2019-01-02 07:00
1094,Portuguese Liga,CD Nacional de Madeira,Guimaraes,2019-01-02 07:00
1095,Portuguese Liga,Desportivo Aves,FC Porto,2019-01-02 07:00
1096,Portuguese Liga,GD Chaves,Feirense,2019-01-02 07:00
1097,Portuguese Liga,Portimonense,Benfica,2019-01-02 07:00
1098,Portuguese Liga,Rio Ave,Moreirense,2019-01-02 07:00
1099,Portuguese Liga,Santa Clara,Tondela,2019-01-02 07:00
1100,Portuguese Liga,Sporting CP,Belenenses,2019-01-02 07:00
1101,Australian A-League,Newcastle Jets,Brisbane Roar,2019-01-02 03:50
1102,English Premier League,Manchester City,Liverpool,2019-01-03 15:00
1103,Spanish Primera División,Villarreal,Real Madrid,2019-01-03 15:30
1104,English FA Cup,TBD,Tottenham Hotspur,2019-01-04 14:45
1105,Australian A-League,Sydney FC,Central Coast Mariners,2019-01-04 03:50
1106,Scottish Championship,Greenock Morton,Ross County,2019-01-04 14:45
1107,Welsh Premier League,Aberystwyth,Connah's Quay,2019-01-04 14:45
1108,Welsh Premier League,T.N.S.,Newtown,2019-01-04 14:45
1109,Indian I-League,NEROCA FC,Shillong Lajong,2019-01-04 03:30
1110,Indian I-League,Chennai City,Gokulam Kerala FC,2019-01-04 09:00
1111,South African Premiership,Chippa United,Bloem Celtic,2019-01-04 13:00
1112,English FA Cup,AFC Bournemouth,Brighton & Hove Albion,2019-01-05 07:30
1113,English FA Cup,Burnley,Barnsley,2019-01-05 07:30
1114,English FA Cup,Manchester United,Reading,2019-01-05 07:30
1115,English FA Cup,Sheffield Wednesday,Luton Town,2019-01-05 07:30
1116,English FA Cup,Shrewsbury Town,Stoke City,2019-01-05 07:30
1117,English FA Cup,West Bromwich Albion,Wigan Athletic,2019-01-05 07:30
1118,English FA Cup,West Ham United,Birmingham City,2019-01-05 07:30
1119,English FA Cup,Accrington Stanley,Ipswich Town,2019-01-05 10:00
1120,English FA Cup,Aston Villa,Swansea City,2019-01-05 10:00
1121,English FA Cup,Bolton Wanderers,TBD,2019-01-05 10:00
1122,English FA Cup,Brentford,Oxford United,2019-01-05 10:00
1123,English FA Cup,Chelsea,Nottingham Forest,2019-01-05 10:00
1124,English FA Cup,Derby County,Southampton,2019-01-05 10:00
1125,English FA Cup,Everton,Lincoln City,2019-01-05 10:00
1126,English FA Cup,Fleetwood Town,AFC Wimbledon,2019-01-05 10:00
1127,English FA Cup,Gillingham,Cardiff City,2019-01-05 10:00
1128,English FA Cup,Middlesbrough,TBD,2019-01-05 10:00
1129,English FA Cup,Bristol City,Huddersfield Town,2019-01-05 12:30
1130,English FA Cup,Crystal Palace,Grimsby Town,2019-01-05 12:30
1131,English FA Cup,Newcastle United,Blackburn Rovers,2019-01-05 12:30
1132,English FA Cup,Norwich City,Portsmouth,2019-01-05 12:30
1133,English FA Cup,TBD,Arsenal,2019-01-05 12:30
1134,Australian A-League,Adelaide United,Wellington Phoenix FC,2019-01-05 01:35
1135,Australian A-League,Western Sydney Wanderers,Melbourne Victory,2019-01-05 03:50
1136,Israeli Premier League,Bnei Sakhnin,Beitar Jerusalem,2019-01-05 10:00
1137,Israeli Premier League,Bnei Yehuda,Hapoel Be'er,2019-01-05 10:00
1138,Israeli Premier League,Hapoel Haifa,Hapoel Hadera,2019-01-05 10:00
1139,Israeli Premier League,Hapoel Kiryat Shmona,Hapoel Tel Aviv,2019-01-05 10:00
1140,Israeli Premier League,Maccabi Petach-Tikva,Maccabi Haifa,2019-01-05 10:00
1141,Israeli Premier League,Maccabi Tel-Aviv,Maccabi Netanya,2019-01-05 10:00
1142,Israeli Premier League,Moadon Sport Ashdod,Hapoel Ra'anana,2019-01-05 10:00
