,premier,home,away,time
334,English League One,Fleetwood Town,Burton Albion,2018-12-15 10:00
335,English League One,Gillingham,Wycombe Wanderers,2018-12-15 10:00
336,English League One,Oxford United,Blackpool,2018-12-15 10:00
337,English League One,Rochdale,Plymouth Argyle,2018-12-15 10:00
338,English League One,Shrewsbury Town,Peterborough United,2018-12-15 10:00
339,English League One,Southend United,Accrington Stanley,2018-12-15 10:00
340,English League One,Sunderland,Bristol Rovers,2018-12-15 10:00
341,English League Two,Cambridge United,Yeovil Town,2018-12-15 10:00
342,English League Two,Carlisle United,Colchester United,2018-12-15 10:00
343,English League Two,Exeter City,Crewe Alexandra,2018-12-15 10:00
344,English League Two,Forest Green Rovers,Mansfield Town,2018-12-15 10:00
345,English League Two,Grimsby Town,Swindon Town,2018-12-15 10:00
346,English League Two,Lincoln City,Morecambe,2018-12-15 10:00
347,English League Two,Macclesfield Town,Crawley Town,2018-12-15 10:00
348,English League Two,Newport County,Milton Keynes Dons,2018-12-15 10:00
349,English League Two,Northampton Town,Stevenage,2018-12-15 10:00
350,English League Two,Notts County,Tranmere Rovers,2018-12-15 10:00
351,English League Two,Oldham Athletic,Bury,2018-12-15 10:00
352,English League Two,Port Vale,Cheltenham Town,2018-12-15 10:00
353,Scottish Championship,Ayr United,Ross County,2018-12-15 10:00
354,Scottish Championship,Falkirk,Greenock Morton,2018-12-15 10:00
355,Scottish Championship,Inverness Caledonian Thistle,Dundee United,2018-12-15 10:00
356,Scottish Championship,Partick Thistle,Alloa Athletic,2018-12-15 10:00
357,Scottish Championship,Queen of the South,Dunfermline Athletic,2018-12-15 10:00
358,Scottish League One,Airdrieonians,Arbroath,2018-12-15 10:00
359,Scottish League One,Forfar Athletic,Montrose,2018-12-15 10:00
360,Scottish League One,Raith Rovers,Dumbarton,2018-12-15 10:00
361,Scottish League One,Stenhousemuir,East Fife,2018-12-15 10:00
362,Scottish League One,Stranraer,Brechin City,2018-12-15 10:00
363,Scottish League Two,Berwick Rangers,Queen's Park,2018-12-15 10:00
364,Scottish League Two,Clyde,Annan Athletic,2018-12-15 10:00
